event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
73129,0.283,0.047,6.02128,17199,17199,17199
66017,0.243,0.043,5.65116,15352,15352,15352
86014,0.428,0.061,7.01639,23103,23103,23102
50197,0.146,0.033,4.42424,10832,10832,10831
70280,0.264,0.045,5.86667,16585,16585,16585
75517,0.338,0.051,6.62745,20153,20153,20153
82575,0.383,0.056,6.83929,20020,20020,20020
67162,0.268,0.047,5.70213,17391,17391,17389
88682,0.455,0.065,7,24771,24771,24771
86037,0.386,0.057,6.77193,21372,21372,21372
87359,0.425,0.061,6.96721,22539,22539,22539
67501,0.249,0.042,5.92857,15032,15032,15032
82318,0.38,0.057,6.66667,21612,21612,21612
71121,0.295,0.047,6.2766,17841,17841,17840
74452,0.304,0.05,6.08,19192,19193,19191
87850,0.434,0.062,7,22728,22728,22728
76812,0.328,0.052,6.30769,18856,18856,18856
73035,0.294,0.048,6.125,17858,17858,17858
95599,0.523,0.069,7.57971,27252,27252,27250
84157,0.388,0.056,6.92857,20017,20017,20017
67204,0.254,0.044,5.77273,16303,16303,16303
79843,0.371,0.055,6.74545,20786,20786,20786
93494,0.509,0.069,7.37681,26127,26127,26127
83503,0.379,0.056,6.76786,21864,21864,21864
87085,0.392,0.058,6.75862,20973,20973,20973
74168,0.313,0.05,6.26,18292,18292,18292
94306,0.496,0.067,7.40299,24570,24570,24570
81606,0.378,0.057,6.63158,21005,21005,21005
60337,0.206,0.039,5.28205,13745,13745,13745
103103,0.619,0.079,7.83544,29856,29858,29856
79348,0.378,0.057,6.63158,21132,21132,21127
59936,0.214,0.04,5.35,14857,14857,14856
78082,0.361,0.056,6.44643,22172,22172,22172
76130,0.334,0.053,6.30189,18890,18890,18890
83770,0.39,0.058,6.72414,22447,22447,22446
94731,0.527,0.07,7.52857,26162,26162,26162
79558,0.359,0.055,6.52727,20737,20737,20737
84191,0.391,0.057,6.85965,20478,20478,20478
91525,0.476,0.065,7.32308,24262,24262,24260
113632,0.797,0.096,8.30208,33895,33895,33895
101804,0.593,0.075,7.90667,27205,27205,27204
115955,0.816,0.099,8.24242,35844,35844,35843
112404,0.764,0.092,8.30435,33052,33053,33052
110445,0.747,0.091,8.20879,34069,34069,34069
90705,0.459,0.064,7.17188,23187,23187,23187
140688,1.341,0.156,8.59615,48524,48524,48521
97986,0.573,0.074,7.74324,28118,28118,28117
118531,0.887,0.107,8.28972,36413,36413,36413
117238,0.828,0.1,8.28,34060,34060,34060
119709,0.915,0.108,8.47222,37170,37170,37170
107477,0.663,0.083,7.98795,30590,30590,30590
120512,0.898,0.104,8.63462,35001,35001,35001
132160,1.085,0.125,8.68,42323,42323,42323
104758,0.66,0.082,8.04878,29657,29658,29657
128414,1.009,0.118,8.55085,40101,40102,40101
104570,0.673,0.085,7.91765,30803,30803,30803
130314,1.035,0.119,8.69748,40354,40354,40354
109474,0.729,0.09,8.1,31804,31804,31804
105457,0.616,0.08,7.7,29215,29216,29214
108422,0.71,0.088,8.06818,31834,31834,31833
124370,0.96,0.112,8.57143,37928,37928,37928
124576,0.989,0.117,8.45299,39361,39361,39361
107426,0.711,0.089,7.98876,32953,32954,32950
103240,0.65,0.081,8.02469,30042,30042,30042
102110,0.633,0.081,7.81481,30398,30399,30397
117415,0.829,0.1,8.29,35050,35050,35049
126907,1.042,0.122,8.54098,40003,40003,40003
111142,0.76,0.094,8.08511,34154,34154,34154
103975,0.643,0.082,7.84146,29197,29197,29195
119324,0.907,0.11,8.24545,38791,38791,38790
