event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
58150,0.155387,0.15341,1.01289,11538,11538,11538
78412,0.329056,0.197833,1.6633,21068,21068,21068
59020,0.165526,0.148962,1.11119,12142,12142,12142
69115,0.246323,0.178167,1.38254,16497,16497,16497
77056,0.3148,0.199592,1.57721,19635,19635,19634
73340,0.277826,0.184162,1.50859,17835,17835,17835
82991,0.35041,0.207576,1.68811,20899,20899,20899
88779,0.44887,0.231693,1.93735,24029,24029,24028
89835,0.4605,0.232763,1.97841,25158,25158,25157
71733,0.271918,0.185506,1.46582,18351,18351,18351
73129,0.263047,0.184752,1.42378,17199,17199,17199
66017,0.220938,0.171179,1.29068,15352,15352,15352
86014,0.403437,0.222438,1.81371,23103,23103,23102
50197,0.125258,0.139174,0.900007,10832,10832,10831
70280,0.239622,0.177817,1.34757,16585,16585,16584
75517,0.312807,0.206475,1.51498,20153,20153,20153
82575,0.358643,0.21935,1.63503,20020,20020,20020
67162,0.241122,0.174001,1.38575,17391,17391,17391
88682,0.42848,0.228186,1.87777,24771,24771,24770
86037,0.3634,0.207283,1.75316,21372,21372,21372
87359,0.410609,0.229412,1.78983,22539,22539,22538
67501,0.223052,0.16936,1.31703,15032,15032,15032
82318,0.356914,0.198414,1.79884,21612,21612,21611
71121,0.27024,0.19046,1.41888,17841,17841,17840
74452,0.279137,0.190529,1.46506,19192,19192,19191
87850,0.406315,0.219197,1.85365,22728,22728,22728
76812,0.307501,0.200271,1.53542,18856,18856,18856
73035,0.270559,0.18796,1.43945,17858,17858,17858
95599,0.495596,0.238582,2.07726,27252,27252,27251
84157,0.359436,0.205265,1.75108,20017,20017,20016
67204,0.233097,0.176919,1.31753,16303,16303,16303
79843,0.343677,0.209905,1.6373,20786,20786,20783
93494,0.488046,0.253017,1.92891,26127,26127,26127
83503,0.360737,0.211327,1.70701,21864,21864,21864
87085,0.385645,0.209328,1.84229,20973,20973,20973
74168,0.285653,0.186351,1.53288,18292,18292,18292
94306,0.471052,0.243166,1.93716,24570,24570,24569
81606,0.352553,0.212413,1.65975,21005,21005,21003
60337,0.182009,0.150641,1.20823,13745,13745,13745
103103,0.589297,0.260179,2.26497,29856,29856,29853
79348,0.350114,0.206321,1.69694,21132,21132,21127
59936,0.190675,0.160542,1.1877,14857,14857,14857
78082,0.338038,0.204477,1.65319,22172,22172,22171
76130,0.312717,0.199082,1.57079,18890,18890,18890
83770,0.377545,0.209932,1.79842,22447,22447,22445
94731,0.500336,0.244283,2.04818,26162,26162,26161
79558,0.332546,0.213525,1.55741,20737,20737,20737
84191,0.360892,0.219484,1.64428,20478,20478,20477
91525,0.449696,0.232058,1.93786,24262,24262,24261
113632,0.77825,0.294358,2.64389,33895,33895,33894
101804,0.558773,0.254911,2.19203,27205,27205,27204
115955,0.7994,0.306968,2.60418,35844,35844,35842
112404,0.740797,0.302611,2.44802,33052,33052,33052
110445,0.728463,0.305197,2.38686,34069,34068,34067
90705,0.440464,0.2422,1.81859,23187,23187,23183
140688,1.33044,0.431285,3.08482,48524,48524,48513
97986,0.55027,0.265234,2.07466,28118,28118,28118
118531,0.872828,0.326595,2.67251,36413,36413,36412
117238,0.819065,0.292381,2.80136,34060,34060,34060
119709,0.892143,0.336399,2.65204,37170,37170,37168
